"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Grenada","GRD","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","",
"Greenland","GRL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9","","","55.3","","","","","","","","","29.8","","23.4","","","","","","25.2","","","","","","","","25.9","","","","","","","","","",
"Guam","GUM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.9","","","","","","24.9","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","2.7","2.6","2.5","2.5","2.4","2.3","2.2","2.1","2.2","2.3","2.7","3.4","4.1","3.2","3.6","2.2","2.5","3.5","3.1","2.5","2.2","2.1","1.8","1.6","1.4","1.1","1","0.9","0.9","0.9","0.9","0.9","1.1","1.1","0.9","0.9","0.8","0.7","0.6","0.5","0.8","",
"Hong Kong SAR, China","HKG","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","62.3","54.4","50","43.4","43.7","46.1","48.9","38.1","40.2","41.5","","34","38","43.3","42","39.8","35.1","30.2","28.9","25.7","27.8","28.1","32.8","29.2","28.8","28.6","28.3","27.5","27.2","26.4","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","2.2","1.8","2","2","1.7","1.3","1.3","1.1","0.7","0.6","0.7","0.4","","",
"Haiti","HTI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","","","","","","","","","","","",
"Hungary","HUN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","1.5","0.3","0.4","0.2","0.2","0.3","0.3","1","0.9","1.1","1.3","1.9","1.5","0.7","0.9","0.8","0.8","","",
"IBRD only","IBD","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.6","78.7","78.4","77.8","78.2","77.4","77","76.2","75.7","75.6","76","75.9","75.7","75.3","74.1","71.6","69.9","68.4","66.6","64.8","63.6","62.3","61","59.9","58.6","57.5","57.1","56.3","55.1","53.9","53.6","","","","",
"IDA blend","IDB","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","93","","","93.3","","","88.5","","","88","","","81.3","","91.1","82","81","78.3","68.3","66.5","66.7","63","67.5","60.9","58","58.4","52","48.7","44.8","44.9","42.8","38.4","34.1","26.3","25.4","23.4","21.8","21.3","19.1","17.5",
"IDA only","IDX","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","89.1","","","","","","86.6","","","","84.2","","","","","","82.6","","","","","","","","","","","77.5","","","","","72.5","","63","","","","61","59.9","54.4","46.9","44","48.2","44","","",
"Not classified","INX","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","0.5","0.5","0.2","","","","0.2","","0.5","0.2","0.1","0.1","0.5","0.1","0.3","0.7","0.9","0.9","0.7","1","0.5","0.5","0.4","0.3","0.1","0.1","0.2","0.1","","",
"Iran, Islamic Rep.","IRN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","24.9","","","","18.8","","","","18","","","","","","","5.7","6","","","6","","3.2","2.5","2.7","4.5","4","4.2","3.7","4.3","5.6","6","5","3.8","",
"Iraq","IRQ","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","","2.4","","","","","","","","","","","",
"Iceland","ISL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.2","0.1","0.3","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0","0.1","0","","","","","","",
"Israel","ISR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","0.8","","","","","","","0.9","","","","","","0.5","","","","","1","","","","0.5","1.7","2","2","1.5","1.2","1","1.5","1.7","1.2","1.5","1.2","1","1.2","0.7","1","1.2","1","1.2","1","1","","",
"Italy","ITA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","1","1","0.7","0.5","0.5","0.2","0.2","0.5","","0.5","1.2","","0.2","","0.5","","2","","1","","","2.2","","1.7","","1.7","1.1","0.9","1","0.9","1.1","1","1.3","1.6","1.5","1.8","2","1.8","2.6","2.3","1.8","2.1","1.3","1.2","1","","",
"Jamaica","JAM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","","16.6","","","26.1","","","11.4","","","8.5","","","8.9","","7.2","","","","","","","","","","","","","","0.6","","","2.4","","",
"Jordan","JOR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","6.9","","","","","3.6","","","","","2.7","","","","0.9","","0.6","","0.4","","","","","","","","","","","","","",
"Japan","JPN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","0.2","","","0.9","","","","","","","","","","",
"Kazakhstan","KAZ","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","","","","","37.6","33.4","28","21.6","28.4","8.4","4.5","3.4","4","2.9","1.1","0.9","0.4","0.5","0.7","1.3","0.7","0.5","0.5","0.4","0.3","","",
"Kenya","KEN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.8","","53.5","","","53.5","","","","","","","","64.4","","","","","","","","","","59.6","","","","","68.6","70.1","","",
"Kyrgyz Republic","KGZ","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.7","71.5","69.7","67.5","44.2","49.7","37","33.6","22.7","18.7","21.4","19.3","20","24.1","17.6","21.1","17","17.3","13.2","11.7","18.7","12.5","11.3","",
"Cambodia","KHM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kiribati","KIR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8","","","","","","","","","","","","","19.5","","","","",
"St. Kitts and Nevis","KNA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","0.7","","0.7","","0.7","","0.5","","0.2","0.2","0.2","0.2","0.2","0.2","","",
"Kuwait","KWT","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5","","","","","78.7","","","","","65.3","","","","","58.5","","","","","40.5","","","","","","32.5","","","","","",
"Lebanon","LBN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","",
"Liberia","LBR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8","","","","","","","60.6","","60.6","","","","","","","",
"Libya","LBY","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","",
"Latin America & Caribbean","LCN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","30.7","31.5","35.4","34.9","33.1","26.4","29.8","30.4","29.4","31.3","30.5","30.3","30.5","28.8","28.7","29.7","29.1","28.6","29.1","27.1","26.9","26.4","25.7","24.1","22.5","19.6","18","16.8","16.2","14.7","13.5","12.9","12","11.5","10.8","10.9","10.6","10.4","10.2","9.9","10.5","8.9","",
"Least developed countries: UN classification","LDC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.6","81.1","80.5","80","80.4","80.1","79.4","79.7","79.4","77.1","75.8","75.2","74.6","73.5","73.7","72.5","72.2","72","71.9","71.6","72.6","72.4","71.6","","","","","","",
"Liechtenstein","LIE","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","51.8","","","","","49.9","","","","","47.6","","","","","","","42.2","","","","29.8","","","23.8","","","19.7","","","","13.8","","","11.3","","","","",
"Lower middle income","LMC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","79.9","79.6","79.1","78.7","78.2","77.8","77.7","77.1","76.9","76.5","76.2","75.7","75.7","75","74.5","73.5","","","","","","71.6","70.6","69","67.7","66.2","64.5","63.2","61.1","58.4","55.4","53.6","52.5","51.5","50.5","49.6","46.9","42.9","40.4","42.8","41","38.6","",
"Low & middle income","LMY","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","76.5","76.3","76.2","75.6","74.9","73.6","73.4","72.4","72.9","72.7","72.4","71.7","71.1","69.7","68.4","66.9","66.3","66","65.4","63.8","62.6","60.8","58.9","56.7","54.4","52.7","50.6","49.2","47.5","44.9","42","40","37.5","36.3","35","34","32.2","29.9","28.2","29.1","28.3","27.1","",
"Lesotho","LSO","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2","","","","","","","","68.2","","","","","","","","84.1","","","","","","","","","","","","","","","54.7","","","","","","",
"Late-demographic dividend","LTE","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","4.4","2.9","1.9","2.3","4.3","3.2","1.6","2","2","2.7","1.4","2.2","1.5","1.3","0.7","0.6","0.4","","",
"Luxembourg","LUX","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0.1","0","0","0","0.1","0","0.1","0.1","0.1","0.2","0.4","0.1","0.4","0.4","0.1","0","0.1","","",
"Latvia","LVA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.2","2.7","1.7","2.4","3.9","3.8","3.1","2.8","2.5","1.9","1.6","1.5","1.5","0.9","0.8","0.8","0.7","","",
"Macao SAR, China","MAC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","37.6","","","","","","24.5","","","","","","","","31.7","","32.5","","","","","","20.2","","","","","","","9.8","","","","","","","","","","",
"Monaco","MCO","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1","53.1","66","64.7","55.1","40.5","27.7","28.7","35.7","10.6","6.5","7.2","6.6","4.5","3.1","2.3","1.6","0.8","0.9","1.1","0.7","0.6","0.4","","0.3","","",
"Madagascar","MDG","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","73.8","","","","","","","","","","","","","89.8","","","","89","","88.1","","86.2","","","","90.4","","","","","92.4","","92.4","","","","","","","","","","","",
"Maldives","MDV","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9","","","","","","","18","","","","","","","0.3","","","0","","","","",
"Middle East & North Africa","MEA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","28","28.3","28.9","28","28.3","26.4","27.9","26.3","25.7","25.3","25.5","23.8","22.5","20.5","19.8","18.7","18.8","","18.6","17.1","16.7","16.4","16","15.5","13.9","12.7","12","11.7","12","12.4","13.1","14.5","15","15.1","","","","","",
"Mexico","MEX","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","","","20.9","","21.7","","32.1","","30.6","","23.6","","20.6","","17.7","17.8","15","","16.6","","14.3","","13.5","","13.1","","8.9","","7.8","","8.2","","4.7","",
"Marshall Islands","MHL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","","","","",
"Middle income","MIC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","17.9","15.5","14.1","12","10.5","10.1","9.7","9.2","7.1","7.5","","","","",
"Mali","MLI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4","","","","","","","79.9","","","","","77.2","","","78.7","","","","","","","","","48.2","","","56.1","","",
"Malta","MLT","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.7","0.2","0.5","0.3","0.4","0.3","0","0","0.1","0.2","0.2","0.2","0.4","0.7","","","",
"Myanmar","MMR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","19.6","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","8.2","8.4","8","5.9","7","6.3","4.2","4.2","3.7","","",
"Mongolia","MNG","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1","","","65.6","","","","37.6","","","","","14.8","","","12.6","8.8","5.9","","4.1","","8.5","","6.9","","","","2.4","",
"Northern Mariana Islands","MNP","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8","","","","","","92.5","","","","","","89.6","","","","","","83.1","","","","","88.6","","","","",
"Mauritania","MRT","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.5","","","","","","71.4","","51.8","","","","","49.1","","","","49.3","","","","36.7","","","","","","26.2","","","","","25.8","","","","",
"Mauritius","MUS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","","","","2.6","","","","","1.8","","","","","","",
"Malawi","MWI","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.5","","","","","","","88.8","","","","","","87.3","","","","","","87.3","","","89.1","","","","",
"Malaysia","MYS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","15.2","","","14.8","","14","","","13.5","","","13.3","","8.3","","","","","","8.2","","","4.9","","5.3","","","1.8","","0.6","","0.4","","","0.2","","","0.1","","",
"North America","NAC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2","","","","","","51.6","","","","","","33.3","","","","","","","","",
"New Caledonia","NCL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7","","95.6","","","","","","","","","","","92.8","","93","","","","88.3","","","82.4","","","","81.2","","","83.1","","",
"Nigeria","NGA","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","74.6","","","","","","","73.8","","","","79.1","","","","","","","75.6","","","","","","","66","","65.1","","","63.3","","","63.5","","","","","",
"Nicaragua","NIC","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6","","","","","48","","","40.1","","","","29.3","","","","24.2","","","","","14.4","","","","","","","","","",
"Netherlands","NLD","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","0.5","","","1.5","","","2","","","","","","0.5","","","","","0.4","0.2","0.1","0.1","0.2","0.2","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.3","0.2","0.1","0.1","0.1","","",
"Norway","NOR","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","0.2","","","","","0.5","","","","0.5","","","","","0.2","","","0.2","0.3","0.3","0.3","0.3","0.3","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.4","0.3","0.3","0.3","","","","",
"Nepal","NPL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.8","","","","","","","","70.6","","","","","","","40","","","","","","","","","","","","7.5","",
"Nauru","NRU","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","","","","","","","","","","","",
"New Zealand","NZL","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)","SI.POV.LMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
